id,translation
0,"{'ca': 'Source: Project GutenbergTranslation: Josep Carner', 'en': 'Source: Project Gutenberg'}"
1,"{'ca': 'Les Aventures De Tom Sawyer', 'en': 'The Adventures of Tom Sawyer'}"
2,"{'ca': 'Mark Twain', 'en': 'Mark Twain'}"
3,"{'ca': 'PREFACI.', 'en': 'PREFACE'}"
4,"{'ca': ""La major part de les aventures consignades en aquest llibre succeiren de bo de bo; una o dues són experiments de la meva collita; la resta pertanyen a minyons que m'eren companys d'escola."", 'en': 'Most of the adventures recorded in this book really occurred; one or two were experiences of my own, the rest those of boys who were schoolmates of mine.'}"
5,"{'ca': ""Huck Finn és tret de la vida real; Tom Sawyer també, pero no d'un individu: és una combinació de les característiques de tres nois que jo vaig coneixer; així és que pertany a l'orde arquitectonic compost."", 'en': 'Huck Finn is drawn from life; Tom Sawyer also, but not from an individual--he is a combination of the characteristics of three boys whom I knew, and therefore belongs to the composite order of architecture.'}"
6,"{'ca': ""Les estranyes supersticions a les quals hom fa referencia, predominaven totes entre nois i esclaus de l'Oest en el període d'aquesta historia; és a dir, fa trenta o quaranta anys."", 'en': 'The odd superstitions touched upon were all prevalent among children and slaves in the West at the period of this story--that is to say, thirty or forty years ago.'}"
7,"{'ca': ""Encara que mon llibre s'adreça sobretot al divertiment de nois i noies, espero que aixo no sera causa que el defugin homes i dones, perque part del meu proposit ha estat mirar de fer plaent memoria als adults d'allo que un dia foren, i de com sentiren i pensaren i parlaren, i en quínes singulars empreses s'esmerçaren de vegades."", 'en': 'Although my book is intended mainly for the entertainment of boys and girls, I hope it will not be shunned by men and women on that account, for part of my plan has been to try to pleasantly remind adults of what they once were themselves, and of how they felt and thought and talked, and what queer enterprises they sometimes engaged in. THE AUTHOR.'}"
8,"{'ca': ""L'AUTOR (Hartford, 1876)."", 'en': 'HARTFORD, 1876.'}"
9,"{'ca': 'CAPÍTOL I', 'en': 'CHAPTER I'}"
10,"{'ca': '-Tom!', 'en': '""TOM!""'}"
11,"{'ca': 'Cap resposta.', 'en': 'No answer.'}"
12,"{'ca': '-Tom!', 'en': '""TOM!""'}"
13,"{'ca': 'Cap resposta.', 'en': 'No answer.'}"
14,"{'ca': ""-Que s'ha fet aquest noi? em demano."", 'en': '""What\'s gone with that boy, I wonder?'}"
15,"{'ca': 'Tom!', 'en': 'You TOM!""'}"
16,"{'ca': ""La vella senyora tira per avall les seves ulleres i mira per damunt elles al volt de la cambra. Després les tira per amunt i sotja sota d'elles."", 'en': 'No answer. The old lady pulled her spectacles down and looked over them about the room; then she put them up and looked out under them.'}"
17,"{'ca': ""Poques vegades o mai no mirava a través d'elles per una cosa tan petita com és un noi, perque les ulleres eren de cerimonia, i l'orgull de son cor, i cavalcaven per gala i no pas per servei: igual hauria pogut veure a través d'un parell de tapadores d'estufa."", 'en': 'She seldom or never looked _through_ them for so small a thing as a boy; they were her state pair, the pride of her heart, and were built for ""style,"" not service--she could have seen through a pair of stove-lids just as well.'}"
18,"{'ca': ""Sembla un moment perplexa, i digué, no pas ferotgement, pero tanmateix en veu prou alta perque el parament de la cambra la sentís: -Bé, m'hi jugo qualsevol cosa que si us atrapo us…"", 'en': 'She looked perplexed for a moment, and then said, not fiercely, but still loud enough for the furniture to hear: ""Well, I lay if I get hold of you I\'ll--""'}"
19,"{'ca': ""No acaba la frase, perque en aquell moment estava decantant-se i furgant sota el llit amb l'escombra: així és que necessitava ale per al ritme de les furgades."", 'en': 'She did not finish, for by this time she was bending down and punching under the bed with the broom, and so she needed breath to punctuate the punches with.'}"
