id,translation
0,"{'ca': 'Source: Project GutenbergTranslation: Josep Carner', 'hu': 'Source: mek.oszk.huTranslation: Koroknay István, Karinthy Frigyes'}"
1,"{'ca': 'Les Aventures De Tom Sawyer', 'hu': 'TOM SAWYER KALANDJAI'}"
2,"{'ca': 'Mark Twain', 'hu': 'MARK TWAIN'}"
3,"{'ca': 'PREFACI.', 'hu': 'ELŐSZÓ'}"
4,"{'ca': ""La major part de les aventures consignades en aquest llibre succeiren de bo de bo; una o dues són experiments de la meva collita; la resta pertanyen a minyons que m'eren companys d'escola."", 'hu': 'A könyvben leírt kalandok nagy része valóban megtörtént, egyik-másik velem, a többi hajdani iskolatársaimmal.'}"
5,"{'ca': ""Huck Finn és tret de la vida real; Tom Sawyer també, pero no d'un individu: és una combinació de les característiques de tres nois que jo vaig coneixer; així és que pertany a l'orde arquitectonic compost."", 'hu': 'Huck Finnt, akárcsak Tom Sawyert, az életből lestem el, mégsem egy bizonyos fiúról mintáztam - három jól ismert gyerek vonásait egyesítettem benne a regényszerkesztés szabályai szerint.'}"
6,"{'ca': ""Les estranyes supersticions a les quals hom fa referencia, predominaven totes entre nois i esclaus de l'Oest en el període d'aquesta historia; és a dir, fa trenta o quaranta anys."", 'hu': 'Az itt említett babonákat történetünk idejében - a harminc-negyven évvel ezelőtti Nyugaton - a gyerekek és a rabszolgák még nagyon komolyan vették.'}"
7,"{'ca': ""Encara que mon llibre s'adreça sobretot al divertiment de nois i noies, espero que aixo no sera causa que el defugin homes i dones, perque part del meu proposit ha estat mirar de fer plaent memoria als adults d'allo que un dia foren, i de com sentiren i pensaren i parlaren, i en quínes singulars empreses s'esmerçaren de vegades."", 'hu': 'Noha könyvemet főképpen gyerekeknek szántam, remélem, a felnőttek sem teszik majd félre, hiszen szeretném bennük is gyengéden felidézni, milyenek voltak valamikor, hogyan éreztek, gondolkoztak és beszéltek, s olykor micsoda különös dolgokba keveredtek.'}"
8,"{'ca': ""L'AUTOR (Hartford, 1876)."", 'hu': 'Hartford, 1876 A szerző'}"
9,"{'ca': 'CAPÍTOL I', 'hu': 'I. FEJEZET'}"
10,"{'ca': '-Tom!', 'hu': '- Tom!'}"
11,"{'ca': 'Cap resposta.', 'hu': 'Semmi válasz.'}"
12,"{'ca': '-Tom!', 'hu': 'Tom!'}"
13,"{'ca': 'Cap resposta.', 'hu': 'Semmi válasz.'}"
14,"{'ca': ""-Que s'ha fet aquest noi? em demano."", 'hu': 'Kíváncsi vagyok, hol csatangol ez a gyerek!'}"
15,"{'ca': 'Tom!', 'hu': 'Hé, Tom!'}"
16,"{'ca': ""La vella senyora tira per avall les seves ulleres i mira per damunt elles al volt de la cambra. Després les tira per amunt i sotja sota d'elles."", 'hu': 'Az idős hölgy letolta orrán a szemüvegét, és elnézett fölötte, körös-körül a szobában; aztán visszatolta, és alatta nézett körül.'}"
17,"{'ca': ""Poques vegades o mai no mirava a través d'elles per una cosa tan petita com és un noi, perque les ulleres eren de cerimonia, i l'orgull de son cor, i cavalcaven per gala i no pas per servei: igual hauria pogut veure a través d'un parell de tapadores d'estufa."", 'hu': 'Ritkán vagy tán sohasem nézett át rajta egyenesen olyan jelentéktelen valami miatt, mint egy kisfiú. Ez a szemüveg dísztárgy volt, szíve büszkesége, az ""előkelőség"" érdekében, nem szükségből készült; két tűzhelykarikán keresztül éppen olyan jól látott volna.'}"
18,"{'ca': ""Sembla un moment perplexa, i digué, no pas ferotgement, pero tanmateix en veu prou alta perque el parament de la cambra la sentís: -Bé, m'hi jugo qualsevol cosa que si us atrapo us…"", 'hu': 'Pillanatig zavarodottan állt, aztán nem túl hangosan, csak éppen hogy a bútorok hallhassák, azt mondta: - Csak kapjam a kezembe...'}"
19,"{'ca': ""No acaba la frase, perque en aquell moment estava decantant-se i furgant sota el llit amb l'escombra: així és que necessitava ale per al ritme de les furgades."", 'hu': 'Nem fejezte be, lehajolt, az ágy alá böködött a söprűvel, nagyokat szusszant, hogy a bökések annál hatásosabbak legyenek.'}"
20,"{'ca': 'No desenterra cap cosa sinó el gat.', 'hu': 'De csak a macskát riasztotta föl.'}"
21,"{'ca': ""-Mai no l'he vist atrapat, aquest noi!"", 'hu': 'Ilyen kölyök még nem volt a világon!'}"
22,"{'ca': ""Se n'ana cap a la porta oberta i s'hi atura, i sotja entre els emparrats de tomaqueres i herbes tauperes, que constituien el jardí."", 'hu': 'Kiállt a nyitott ajtóba, és szétnézett a paradicsomok és articsókák közt, amelyek a kertet jelentették.'}"
23,"{'ca': 'Res de Tom.', 'hu': 'Tomnak se híre, se pora.'}"
24,"{'ca': 'Així és que ella féu força per alçar la veu fins al grau exigit per la distancia, i crida:', 'hu': 'Fölemelte hangját, hogy messzebbre is hallhassák, és elkiáltotta magát:'}"
25,"{'ca': '-O-o-o Tom!', 'hu': 'Hé-é-é, Tom!'}"
26,"{'ca': ""Sentí una fressa lleu al darrera, i es gira a temps per a agafar un petit minyó per l'extrem de son gec, i aturar la seva fugida. -Té!"", 'hu': 'Halk nesz hallatszott a háta mögött, és ahogy hirtelen megfordult, éppen hogy el tudta kapni egy kölyök gallérját, amint el akart iszkolni. - Na, ugye!'}"
27,"{'ca': 'Hauria hagut de pensar en aquest recambró.', 'hu': 'Mindjárt gondolhattam volna a kamrára.'}"
28,"{'ca': 'Que hi féieu, aquí dins?', 'hu': 'Mit kerestél ott?'}"
29,"{'ca': '-Res.', 'hu': 'Semmit!'}"
30,"{'ca': '-Res!', 'hu': 'Semmit!'}"
31,"{'ca': 'Mireu-vos les mans i mireu-vos la boca.', 'hu': 'Nézd csak meg a kezedet meg a szádat.'}"
32,"{'ca': 'Que és, aquesta brutor?', 'hu': 'Mi ragad rajta?'}"
33,"{'ca': '-No ho sé, tia.', 'hu': 'Én nem tudom, néni.'}"
34,"{'ca': '-Bé, jo sí, que ho sé.', 'hu': 'De én tudom!'}"
35,"{'ca': 'És melmelada: vet aquí el que és.', 'hu': 'Lekvár, az bizony.'}"
36,"{'ca': 'Us he dit quaranta vegades que si no deixaveu la melmelada tranquila us llevaria la pell.', 'hu': 'Hát nem százszor megmondtam, hogy nyughass attól a lekvártól, különben megnyúzlak.'}"
37,"{'ca': 'Deu-me aquell fuet.', 'hu': 'Add csak ide azt a pálcát.'}"
38,"{'ca': ""El fuet fou brandat per l'aire."", 'hu': 'A pálca a levegőbe emelkedett.'}"
39,"{'ca': 'El perill era desesperat.', 'hu': 'Elkerülhetetlennek látszott a végzet.'}"
40,"{'ca': '-Ui!', 'hu': 'Szent Isten!'}"
41,"{'ca': 'Mireu al darrera vostre, tia!', 'hu': 'Nézz csak hátra, néni!'}"
42,"{'ca': ""La vella senyora es gira arremolinadament, i arrabassa les faldilles cap enfora de l'amenaça; i el minyó fugí tot seguit, s'enfila damunt el clos d'altes estaques, i desaparegué a l'altra banda."", 'hu': 'Az idős hölgy megpördült a sarkán, ijedtében összehúzta szoknyáját, a kölyök pedig egy pillanat alatt elszaladt, fölkapaszkodott a magas palánkra, és eltűnt mögötte.'}"
43,"{'ca': 'La tia Polly romangué sorpresa un moment i en acabat esclatá en una dolça rialla.', 'hu': 'Polly néni egy pillanatig meghökkenve állt, aztán elnevette magát:'}"
44,"{'ca': '-Diastre de noi!', 'hu': 'Ördög vigye ezt a gyereket!'}"
45,"{'ca': ""Mireu's que és prou, que jo mai pugui escarmentar!"", 'hu': 'Hát soha nem tanulok meg semmit?'}"
46,"{'ca': ""No m'ha fet prou martingales, perque ara m'emprengui de sotjar-lo?"", 'hu': 'Hányszor ugratott már be ugyanígy, és mégse tudok rá vigyázni.'}"
47,"{'ca': 'Pero un vell ximple és el pitjor dels ximples.', 'hu': 'Úgy látszik, mégiscsak igaz, hogy mentül öregebb valaki, annál kevesebb az esze.'}"
48,"{'ca': 'Un gos vell no apren cap traça nova, com diu la dita.', 'hu': 'Nemhiába mondják: vén kutya nem tanul már újat.'}"
49,"{'ca': ""Tanmateix, en nom de Déu, ell no s'empesca mai les mateixes coses dues vegades seguides; i com pot coneixer un hom la que ha de venir?"", 'hu': 'No, és nincs két nap egymás után, hogy ugyanúgy járatná a bolondját velem; hogy is tudhatnám, mit forral?'}"
50,"{'ca': ""Sembla talment que sapiga per quant de temps podra de consumir-me les sangs sense que m'arribi a arborar, i sap que, si arriba a aconseguir de deixar-me en bitza per un minut o fer-me riure, jo m'aplaco i no puc ventar-li patacada."", 'hu': 'Mintha pontosan tudná, meddig élhet vissza a türelmemmel, és azt is tudja, hogy ha egy szempillantásra kizökkent vagy megnevettet, vége az egésznek, nem vagyok képes megverni.'}"
51,"{'ca': 'No hi compleixo pas la meva obligació amb aquest noi; i aquesta és la santa veritat, Déu ho sap.', 'hu': 'Isten látja lelkem, nem teljesítem kötelességem evvel a gyerekkel szemben.'}"
52,"{'ca': 'Planyer el bastó malmet el minyó, com diu la Bíblia.', 'hu': 'Ha pihen a pálca, elkanászodik a tanítvány, mondják.'}"
53,"{'ca': ""Deixo que el pecat s'amuntegui, i pago la pena per tots dos, massa que ho veig."", 'hu': 'Bűn ez, tudom én jól, s mindketten megszenvedünk majd érte.'}"
54,"{'ca': 'És un vailet endimoniat; pero, caram!, és el noi de la meva germana morta, pobrissona!, i no tinc cor de ventar-li fuetada, sigui com sigui.', 'hu': 'Mindig huncutságon jár az esze, de istenem, mégiscsak szegény elhalt nővérem gyereke szegényke, nincs szívem hozzá, úgy istenigazában elnadrágolni.'}"
55,"{'ca': ""Cada vegada que el deixo anar, la consciencia em puny de allo més; i cada vegada que l'aporrino el cor se'm trenca."", 'hu': 'Valahányszor eleresztem, furdal a lelkiismeret; de valahányszor kihúzza tőlem a lutrit, öreg szívem vallja kárát.'}"
56,"{'ca': ""Tanmateix, home nat de dona és de pocs dies i ple de tribulacions, com diu l'Escriptura, i és la massíssima veritat."", 'hu': 'Bizony, bizony, akit anya szült, annak meg vannak számlálva napjai, és rögösek az ő útjai, mint az írás mondja, és azt hiszem, úgy is van ez.'}"
57,"{'ca': 'Fara campana aquesta tarda, i no tindré més remei que fer-lo treballar dema, per a castigar-lo.', 'hu': 'Ma délután biztosan felé se megy az iskolának, holnap muszáj lesz munkára fognom, hogy megbüntessem.'}"
