id,translation
0,"{'ca': 'Source: Project GutenbergTranslation: Josep Carner', 'nl': 'Source: Project Gutenberg'}"
1,"{'ca': 'Les Aventures De Tom Sawyer', 'nl': 'De Lotgevallen van Tom Sawyer'}"
2,"{'ca': 'Mark Twain', 'nl': 'Mark Twain'}"
3,"{'ca': 'CAPÍTOL I', 'nl': 'HOOFDSTUK I.'}"
4,"{'ca': '-Tom!', 'nl': '""Tom!""'}"
5,"{'ca': 'Cap resposta.', 'nl': 'Geen antwoord.'}"
6,"{'ca': '-Tom!', 'nl': '""Tom!""'}"
7,"{'ca': 'Cap resposta.', 'nl': 'Geen antwoord.'}"
8,"{'ca': ""-Que s'ha fet aquest noi? em demano."", 'nl': '""Waar zou die drommelsche jongen toch zitten?'}"
9,"{'ca': 'Tom!', 'nl': 'Hoor je me niet, Tom?""'}"
10,"{'ca': 'La vella senyora tira per avall les seves ulleres i mira per damunt elles al volt de la cambra.', 'nl': 'De oude dame, die deze woorden sprak, trok haar bril naar beneden om er overheen te kijken.'}"
11,"{'ca': ""Després les tira per amunt i sotja sota d'elles."", 'nl': 'Daarna duwde zij hem naar boven om er onderdoor te kijken.'}"
12,"{'ca': ""Poques vegades o mai no mirava a través d'elles per una cosa tan petita com és un noi, perque les ulleres eren de cerimonia, i l'orgull de son cor, i cavalcaven per gala i no pas per servei: igual hauria pogut veure a través d'un parell de tapadores d'estufa."", 'nl': 'Zelden of nooit gebruikte zij hem om er _door_ te kijken, althans niet naar een zoo onbeduidend voorwerp als een kleine jongen. Immers haar bril was haar roem, de trots van haar hart, en zij had hem gekocht om ontzag in te boezemen,--niet om dienst te doen.'}"
13,"{'ca': ""Sembla un moment perplexa, i digué, no pas ferotgement, pero tanmateix en veu prou alta perque el parament de la cambra la sentís: -Bé, m'hi jugo qualsevol cosa que si us atrapo us…"", 'nl': 'Een oogenblik zag zij onthutst in het rond en zeide, niet bepaald barsch, maar luid genoeg om door al de meubelen in de kamer gehoord te worden: ""Als ik je krijg, dan zal....""'}"
14,"{'ca': ""No acaba la frase, perque en aquell moment estava decantant-se i furgant sota el llit amb l'escombra: així és que necessitava ale per al ritme de les furgades."", 'nl': 'Meer kon zij niet uitbrengen, want al pratende had zij zich voorovergebukt om met een bezem onder het bed te voelen of zich daar ook iemand verscholen had; en zij hijgde naar adem, toen zij na lang duwen en stompen niets dan de kat te voorschijn haalde.'}"
15,"{'ca': 'No desenterra cap cosa sinó el gat.', 'nl': '""Ik heb nooit van mijn leven zoo\'n jongen gezien!'}"
16,"{'ca': ""-Mai no l'he vist atrapat, aquest noi!"", 'nl': 'Nu zullen wij eens buiten kijken.""'}"
17,"{'ca': ""Se n'ana cap a la porta oberta i s'hi atura, i sotja entre els emparrats de tomaqueres i herbes tauperes, que constituien el jardí."", 'nl': 'Zij ging voor de open deur staan en keek den tuin rond, tusschen de tomato-boompjes en het doorn-appelkruid.'}"
18,"{'ca': 'Res de Tom.', 'nl': 'Geen Tom.'}"
19,"{'ca': 'Així és que ella féu força per alçar la veu fins al grau exigit per la distancia, i crida:', 'nl': 'Daarna gebruikte zij hare handen als spreektrompet en schreeuwde: ""Ben je daar, Tom!""'}"
