id,translation
0,"{'de': 'Translation: Antonie Zimmermann', 'eo': 'Source: Project GutenbergTranslation: E.L. KEARNEY, M.A.'}"
1,"{'de': 'Alice’s Abenteuer im Wunderland', 'eo': 'La aventuroj de Alicio en Mirlando'}"
2,"{'de': 'Lewis Carroll', 'eo': 'LEWIS CARROLL'}"
3,"{'de': 'Erstes Kapitel – Hinunter in den Kaninchenbau.', 'eo': 'ĈAPITRO I Mirinda Falego!'}"
4,"{'de': 'Alice fing an sich zu langweilen; sie saß schon lange bei ihrer Schwester am Ufer und hatte nichts zu tun.', 'eo': 'Alicio, jam longan tempon sidinte apud sia fratino sur la deklivo, tre enuiĝis pro senokupo.'}"
5,"{'de': 'Das Buch, das ihre Schwester las, gefiel ihr nicht; denn es waren weder Bilder noch Gespräche darin. »Und was nützen Bücher,« dachte Alice, »ohne Bilder und Gespräche ?«', 'eo': 'Unu, du foje ŝi prove rigardis en la libron kiun la fratino legas, sed povis vidi en ĝi nek desegnojn nek konversaciojn, kaj ""por kio utilas libro,"" pensis ŝi, ""enhavanta nek desegnojn nek konversaciojn?""'}"
6,"{'de': 'Sie überlegte sich eben, (so gut es ging, denn sie war schläfrig und dumm von der Hitze,) ob es der Mühe wert sei aufzustehen und Gänseblümchen zu pflücken, um eine Kette damit zu machen, als plötzlich ein weißes Kaninchen mit roten Augen dicht an ihr vorbeirannte.', 'eo': 'Ŝi do ekpripensis—ne tre vigle ĉar la tago estis varma, kaj ŝi sentis sin tre dormema—ĉu la plezuro fari ĉenon el lekantetoj valorus la laboron sin levi kaj kolekti lekantetojn, kiam tutapude preterkuris Blanka kuniklo kun paleruĝaj okuloj.'}"
7,"{'de': 'Dies war grade nicht sehr merkwürdig; Alice fand es auch nicht sehr außerordentlich, daß sie das Kaninchen sagen hörte: »O weh, o weh!', 'eo': 'Tio ja ne estis tre mirinda, ankaŭ ne ŝajnis al Alicio tre eksterordinare aŭdi la kuniklon diranta al si:— ""Ho, ve! mi malfruos!""'}"
8,"{'de': 'Ich werde zu spät kommen!« (Als sie es später wieder überlegte, fiel ihr ein, daß sie sich darüber hätte wundern sollen; doch zur Zeit kam es ihr Alles ganz natürlich vor.)', 'eo': '(Kiam poste ŝi pripensadis la aferon, ŝajnis al ŝi, ke tio estis efektive mirinda, sed en la momento mem, ĝi ŝajnis al ŝi tute ordinara.)'}"
9,"{'de': 'Aber als das Kaninchen seine Uhr aus der Westentasche zog, nach der Zeit sah und eilig fortlief, sprang Alice auf; denn es war ihr doch noch nie vorgekommen, ein Kaninchen mit einer Westentasche und einer Uhr darin zu sehen.', 'eo': 'Tamen, kiam la kuniklo el sia veŝta poŝo eligis poŝhorloĝon, kaj, rigardinte ĝin, tuj plirapidis, Alicio eksaltis sur la piedojn, ĉar subite frapis ŝin la ideo, ke neniam antaŭe ŝi vidis kuniklon kiu havas veŝtpoŝon kaj poŝhorloĝon.'}"
