id,translation
0,"{'ca': 'Source: Project GutenbergTranslation: Josep Carner', 'de': 'Source: Project Gutenberg'}"
1,"{'ca': 'Les Aventures De Tom Sawyer', 'de': 'Die Abenteuer Tom Sawyers'}"
2,"{'ca': 'Mark Twain', 'de': 'Mark Twain'}"
3,"{'ca': 'PREFACI.', 'de': 'Vorwort des Autors.'}"
4,"{'ca': ""La major part de les aventures consignades en aquest llibre succeiren de bo de bo; una o dues són experiments de la meva collita; la resta pertanyen a minyons que m'eren companys d'escola."", 'de': 'Die meisten der hier erzählten Abenteuer haben sich tatsächlich zugetragen. Das eine oder das andere habe ich selbst erlebt, die anderen meine Schulkameraden.'}"
5,"{'ca': ""Huck Finn és tret de la vida real; Tom Sawyer també, pero no d'un individu: és una combinació de les característiques de tres nois que jo vaig coneixer; així és que pertany a l'orde arquitectonic compost."", 'de': 'Huck Finn ist nach dem Leben gezeichnet, nicht weniger Tom Sawyer, doch entspricht dieser nicht einer bestimmten Persönlichkeit, sondern wurde mit charakteristischen Zügen mehrerer meiner Altersgenossen ausgestattet und darf daher jenem gegenüber als einigermaßen kompliziertes psychologisches Problem gelten.'}"
6,"{'ca': ""Les estranyes supersticions a les quals hom fa referencia, predominaven totes entre nois i esclaus de l'Oest en el període d'aquesta historia; és a dir, fa trenta o quaranta anys."", 'de': 'Ich muß hier bemerken, daß zur Zeit meiner Erzählung -- vor dreißig bis vierzig Jahren -- unter den Unmündigen und Unwissenden des Westens noch die seltsamsten, unwahrscheinlichsten Vorurteile und Aberglauben herrschten.'}"
7,"{'ca': ""Encara que mon llibre s'adreça sobretot al divertiment de nois i noies, espero que aixo no sera causa que el defugin homes i dones, perque part del meu proposit ha estat mirar de fer plaent memoria als adults d'allo que un dia foren, i de com sentiren i pensaren i parlaren, i en quínes singulars empreses s'esmerçaren de vegades."", 'de': 'Obwohl dies Buch vor allem zur Unterhaltung der kleinen Welt geschrieben wurde, so darf ich doch wohl hoffen, daß es auch von Erwachsenen nicht ganz unbeachtet gelassen werde, habe ich doch darin versucht, ihnen auf angenehme Weise zu zeigen, was sie einst selbst waren, wie sie fühlten, dachten, sprachen, und welcher Art ihr Ehrgeiz und ihre Unternehmungen waren.'}"
8,"{'ca': 'CAPÍTOL I', 'de': 'Erstes Kapitel.'}"
9,"{'ca': '-Tom!', 'de': ',,Tom!""'}"
10,"{'ca': 'Cap resposta.', 'de': 'Keine Antwort.'}"
11,"{'ca': '-Tom!', 'de': ',,Tom!""'}"
12,"{'ca': 'Cap resposta.', 'de': 'Alles still.'}"
13,"{'ca': ""-Que s'ha fet aquest noi? em demano."", 'de': ',,Soll mich doch wundern, wo der Bengel wieder steckt!'}"
14,"{'ca': 'Tom!', 'de': 'Tom!""'}"
15,"{'ca': ""La vella senyora tira per avall les seves ulleres i mira per damunt elles al volt de la cambra. Després les tira per amunt i sotja sota d'elles."", 'de': 'Die alte Dame schob ihre Brille hinunter und schaute darüber hinweg; dann schob sie sie auf die Stirn und schaute darunter weg.'}"
16,"{'ca': ""Poques vegades o mai no mirava a través d'elles per una cosa tan petita com és un noi, perque les ulleres eren de cerimonia, i l'orgull de son cor, i cavalcaven per gala i no pas per servei: igual hauria pogut veure a través d'un parell de tapadores d'estufa."", 'de': 'Selten oder nie schaute sie nach einem so kleinen Ding, wie ein Knabe ist, _durch_ die Gläser dieser ihrer Staatsbrille, die der Stolz ihres Herzens war und mehr stilvoll als brauchbar; sie würde durch ein paar Herdringe ebensoviel gesehen haben.'}"
17,"{'ca': ""Sembla un moment perplexa, i digué, no pas ferotgement, pero tanmateix en veu prou alta perque el parament de la cambra la sentís: -Bé, m'hi jugo qualsevol cosa que si us atrapo us…"", 'de': 'Unruhig hielt sie einen Augenblick Umschau und sagte, nicht gerade erzürnt, aber doch immer laut genug, um im ganzen Zimmer gehört zu werden: ,,Ich werde strenges Gericht halten müssen, wenn ich dich erwische, ich werde --""'}"
18,"{'ca': ""No acaba la frase, perque en aquell moment estava decantant-se i furgant sota el llit amb l'escombra: així és que necessitava ale per al ritme de les furgades."", 'de': 'Hier brach sie ab, denn sie hatte sich inzwischen niedergebeugt und stocherte mit dem Besen unter dem Bett herum, und dann mußte sie wieder Atem holen, um ihrem Ärger Ausdruck zu verleihen.'}"
19,"{'ca': 'No desenterra cap cosa sinó el gat.', 'de': 'Sie hatte nichts als die Katze aufgestöbert.'}"
20,"{'ca': ""-Mai no l'he vist atrapat, aquest noi!"", 'de': ',,So ein Junge ist mir noch gar nicht vorgekommen!""'}"
21,"{'ca': ""Se n'ana cap a la porta oberta i s'hi atura, i sotja entre els emparrats de tomaqueres i herbes tauperes, que constituien el jardí."", 'de': 'Sie ging zur offenen Tür, blieb stehen und spähte zwischen den Weinranken und dem blühenden Unkraut, welche zusammen den ,,Garten"" ausmachten, hindurch.'}"
22,"{'ca': 'Res de Tom.', 'de': 'Kein Tom.'}"
23,"{'ca': 'Així és que ella féu força per alçar la veu fins al grau exigit per la distancia, i crida:', 'de': 'So erhob sie denn ihre Stimme und rief in alle Ecken hinein: ,,Tom, Tom!""'}"
